enterprise_id,month,stressed
1,2024-01,1
1,2024-02,1
1,2024-03,0
1,2024-04,0
1,2024-05,0
1,2024-06,0
1,2024-07,0
1,2024-08,0
1,2024-09,0
1,2024-10,0
1,2024-11,0
1,2024-12,0
1,2025-01,0
1,2025-02,0
1,2025-03,0
1,2025-04,0
1,2025-05,0
1,2025-06,0
1,2025-07,0
1,2025-08,0
1,2025-09,0
1,2025-10,0
1,2025-11,0
1,2025-12,0
1,2026-01,0
1,2026-02,0
1,2026-03,0
1,2026-04,0
2,2024-01,0
2,2024-02,0
2,2024-03,0
2,2024-04,0
2,2024-05,0
2,2024-06,0
2,2024-07,0
2,2024-08,0
2,2024-09,0
2,2024-10,0
2,2024-11,0
2,2024-12,0
2,2025-01,0
2,2025-02,0
2,2025-03,0
2,2025-04,0
2,2025-05,0
2,2025-06,0
2,2025-07,0
2,2025-08,0
2,2025-09,0
2,2025-10,0
2,2025-11,0
2,2025-12,0
2,2026-01,0
2,2026-02,0
2,2026-03,0
2,2026-04,0
3,2024-01,0
3,2024-02,0
3,2024-03,0
3,2024-04,0
3,2024-05,0
3,2024-06,0
3,2024-07,0
3,2024-08,0
3,2024-09,0
3,2024-10,0
3,2024-11,0
3,2024-12,0
3,2025-01,0
3,2025-02,0
3,2025-03,0
3,2025-04,0
3,2025-05,0
3,2025-06,0
3,2025-07,0
3,2025-08,0
3,2025-09,0
3,2025-10,0
3,2025-11,0
3,2025-12,0
3,2026-01,0
3,2026-02,0
3,2026-03,0
3,2026-04,0
4,2024-01,0
4,2024-02,0
4,2024-03,0
4,2024-04,0
4,2024-05,0
4,2024-06,0
4,2024-07,0
4,2024-08,0
4,2024-09,0
4,2024-10,0
4,2024-11,0
4,2024-12,0
4,2025-01,0
4,2025-02,0
4,2025-03,0
4,2025-04,0
4,2025-05,0
4,2025-06,0
4,2025-07,0
4,2025-08,0
4,2025-09,0
4,2025-10,0
4,2025-11,0
4,2025-12,0
4,2026-01,1
4,2026-02,1
4,2026-03,0
4,2026-04,0
5,2024-01,0
5,2024-02,0
5,2024-03,0
5,2024-04,0
5,2024-05,0
5,2024-06,0
5,2024-07,0
5,2024-08,0
5,2024-09,0
5,2024-10,0
5,2024-11,0
5,2024-12,0
5,2025-01,0
5,2025-02,0
5,2025-03,0
5,2025-04,0
5,2025-05,0
5,2025-06,0
5,2025-07,0
5,2025-08,0
5,2025-09,0
5,2025-10,0
5,2025-11,0
5,2025-12,0
5,2026-01,0
5,2026-02,0
5,2026-03,0
5,2026-04,0
6,2024-01,0
6,2024-02,0
6,2024-03,0
6,2024-04,1
6,2024-05,1
6,2024-06,0
6,2024-07,0
6,2024-08,0
6,2024-09,0
6,2024-10,0
6,2024-11,0
6,2024-12,0
6,2025-01,0
6,2025-02,0
6,2025-03,0
6,2025-04,0
6,2025-05,0
6,2025-06,0
6,2025-07,0
6,2025-08,0
6,2025-09,0
6,2025-10,0
6,2025-11,0
6,2025-12,0
6,2026-01,0
6,2026-02,0
6,2026-03,0
6,2026-04,0
7,2024-01,0
7,2024-02,0
7,2024-03,0
7,2024-04,0
7,2024-05,0
7,2024-06,0
7,2024-07,0
7,2024-08,0
7,2024-09,0
7,2024-10,0
7,2024-11,0
7,2024-12,0
7,2025-01,0
7,2025-02,0
7,2025-03,0
7,2025-04,0
7,2025-05,0
7,2025-06,0
7,2025-07,0
7,2025-08,0
7,2025-09,0
7,2025-10,0
7,2025-11,0
7,2025-12,0
7,2026-01,0
7,2026-02,1
7,2026-03,1
7,2026-04,0
8,2024-01,0
8,2024-02,0
8,2024-03,0
8,2024-04,1
8,2024-05,1
8,2024-06,0
8,2024-07,0
8,2024-08,0
8,2024-09,0
8,2024-10,0
8,2024-11,0
8,2024-12,0
8,2025-01,0
8,2025-02,0
8,2025-03,0
8,2025-04,0
8,2025-05,0
8,2025-06,0
8,2025-07,0
8,2025-08,0
8,2025-09,0
8,2025-10,0
8,2025-11,0
8,2025-12,0
8,2026-01,0
8,2026-02,0
8,2026-03,0
8,2026-04,0
9,2024-01,0
9,2024-02,0
9,2024-03,0
9,2024-04,0
9,2024-05,0
9,2024-06,0
9,2024-07,0
9,2024-08,0
9,2024-09,0
